Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.5,6.6,7.7,9,10.5,11.9,13.5,15.1,16.6,18.3,19.9,21.3,22.9,24.5,26.1,27.6,28.8,30.3,31.4,32.6,33.8,34.9,36.1,-1
Afghanistan,AFG,Access to clean fuels and technologies for cooking. rural (% of rural population),EG.CFT.ACCS.RU.ZS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,1.3,1.6,1.9,2.4,3,3.6,4.3,5.1,5.9,7,8,9,10.2,11.4,12.6,13.5,14.5,15.6,16.4,17.4,18.5,-1
Afghanistan,AFG,Access to clean fuels and technologies for cooking. urban (% of urban population),EG.CFT.ACCS.UR.ZS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.3,29.9,35.1,40.25,45.3,50.2,54.7,59.2,62.9,66.4,69.4,72,74.3,76.1,78,79.5,80.5,81.6,82.6,83.2,83.8,84.5,85,-1
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.4,9.3,14.1,19,23.8,28.7,33.5,38.4,42.4,48.3,42.7,43.2,69.1,68,89.5,71.5,97.7,97.7,93.4,97.7,97.7,97.7,85.3,-1
Afghanistan,AFG,Access to electricity. rural (% of rural population),EG.ELC.ACCS.RU.ZS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.1,7.8,15.4,19.3,25,28,36.7,30.2,29.6,60.8,60.2,86.5,64.6,97.1,97.1,91.6,97.1,97.1,97.1,81.7,-1
Afghanistan,AFG,Access to electricity. urban (% of urban population),EG.ELC.ACCS.UR.ZS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73.4,74.8,76.1,77.5,78.8,74,81.6,83,89.9,85.9,82.8,86.6,95,92.2,98.7,92.5,99.5,99.5,98.8,99.5,99.5,99.5,95.9,-1
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.01,-1,-1,9.96,-1,-1,14.89,-1,-1,-1,9.65,-1,-1
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider. female (% of population ages 15+),FX.OWN.TOTL.FE.ZS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.62,-1,-1,3.81,-1,-1,7.16,-1,-1,-1,4.7,-1,-1
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider. male (% of population ages 15+),FX.OWN.TOTL.MA.ZS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.42,-1,-1,15.78,-1,-1,22.54,-1,-1,-1,14.79,-1,-1
Afghanistan,AFG,Adjusted net enrollment rate. primary (% of primary school age children),SE.PRM.TENR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.82221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.766,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
